Record ID,Protocol_RID,Label,Caption,File_Name,File_URI,File_Bytes,File_MD5,Release_Date,Consortium,Record Creation Time,Record Modified Time
N-H9FG,N-H9DC,Image Checker Screenshot 4,,N-H9DC_ImageCheck4.png,Source_Files/N-H9DC_ImageCheck4.png,35719,a4d23ea71eaf86618fdedafbf2e24732,2017-09-20,RBK,2017-09-20T19:29:22.498096+00:00,2018-05-25T03:51:34.687757+00:00
N-H9FJ,N-H9E0,Quality Control - ISH Pie Chart,,N-H9E0_QC_ISH_piechart.jpg,Source_Files/N-H9E0_QC_ISH_piechart.jpg,16932,6908373b1ae521baf41723e190b5b19a,2017-09-20,RBK,2017-09-20T20:52:33.919187+00:00,2018-05-25T03:51:34.687757+00:00
N-H9FM,N-H9BG,Mapping TRVP1-Lineage in Arteriolar Smooth Muscle of Bladder (original .MOV file),,N-H9BG_Ahern_Group_Protocols_Mapping_TRPV1cre.mov,Source_Files/N-H9BG_Ahern_Group_Protocols_Mapping_TRPV1cre.mov,1229066,3243ba7358fe09698d7f5ec2bb9ba346,2017-08-09,RBK,2017-08-09T19:27:42.999772+00:00,2018-05-25T03:51:34.687757+00:00
N-H9FP,N-H9BG,Mapping TRVP1-Lineage in Arteriolar Smooth Muscle of Bladder  (.mpeg file),,N-H9BG_Ahern_Group_Protocols_Mapping_TRPV1cre2.mpeg,Source_Files/N-H9BG_Ahern_Group_Protocols_Mapping_TRPV1cre2.mpeg,3434496,ce3dd23658d908e927c035864e13789e,2017-08-09,RBK,2017-08-09T19:28:57.407314+00:00,2018-05-25T03:51:34.687757+00:00
N-H9FR,N-H9E4,Flow diagram,,N-H9E4_Submission_Flow_Diagram_230410.jpg,Source_Files/N-H9E4_Submission_Flow_Diagram_230410.jpg,106925,f853f40314fa048ac09473b38e8999f4,2017-09-20,RBK,2017-09-20T21:15:20.30693+00:00,2018-05-25T03:51:34.687757+00:00
N-H9FT,N-H9AM,Figure1,Factor concentrations,N-H9AM_tablefactorconcentrations.png,Source_Files/N-H9AM_tablefactorconcentrations.png,119762,6c32d6c702b15f42463d1e07ac3b4b84,2016-05-26,RBK,2016-05-26T18:35:23+00:00,2019-07-16T01:04:49.192293+00:00
N-H9FW,N-H9AM,Figure2,Conical tubes,N-H9AM_conicaltubes.png,Source_Files/N-H9AM_conicaltubes.png,88744,9d1fcdfdf6535d25087e21fbab99c2fa,2016-05-26,RBK,2016-05-26T18:35:23+00:00,2019-07-16T01:04:49.192293+00:00
N-H9FY,N-H9AM,Figure3,Meniscus effect,N-H9AM_meniscuseffect.jpg,Source_Files/N-H9AM_meniscuseffect.jpg,171333,ba11e5c59b5aedc6c7f2fb50d783f42e,2016-05-26,RBK,2016-05-26T18:35:23+00:00,2019-07-16T01:04:49.192293+00:00
N-H9G0,N-H9AM,Figure4,Optimal passage density,N-H9AM_optimalpassagedensity.jpg,Source_Files/N-H9AM_optimalpassagedensity.jpg,185088,a6c9bff25b6eacca036a681c4dc8f931,2016-05-26,RBK,2016-05-26T18:35:23+00:00,2019-07-16T01:04:49.192293+00:00
N-H9G2,N-H99M,Figure 1,Cell culture media,N-H99M_media.jpg,Source_Files/N-H99M_media.jpg,52689,1d2bae3050d1bf46e0e1d5a6bbff13ba,2016-10-21,RBK,2016-10-21T14:25:00+00:00,2019-07-16T01:04:49.192293+00:00
N-H9G4,N-H9E8,assembling3DMPSDevices - Top Piece,,N-H9E8_assembling3DMPSDevices-topPiece.png,Source_Files/N-H9E8_assembling3DMPSDevices-topPiece.png,961188,cc36940f4900ae7eeef7999cb88b4301,2017-06-06,RBK,2017-06-06T20:26:22.384917+00:00,2022-08-05T08:34:18.911952+00:00
